episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,custom_metrics/rounds_played_until_loss_mean,custom_metrics/rounds_played_until_loss_min,custom_metrics/rounds_played_until_loss_max,custom_metrics/round_outcome_mean,custom_metrics/round_outcome_min,custom_metrics/round_outcome_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-27.4512034152199,-27.4512034152199,-27.4512034152199,88.0,1,4000,False,4000,1,1,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_13-59-19,1579442359,312.47491121292114,312.47491121292114,2539,ip-172-31-0-36,172.31.0.36,312.47491121292114,4000,1,6.0,6,6,0.0,0,0,51.36679357557154,10.510943422270058,12.80257179962462,3968,4000,53165.202,16870.295,36137.863,189947.428,45.824175824175825,26.9978021978022,0.01953296703296703,0.07849732646516144,0.20000000298023224,4.999999873689376e-05,2.521226,-0.1863851,2.7033286,0.051449046,0.021412948,8.314521,0.0
-27.4512034152199,-93.35862856965399,-61.09257134185001,589.4285714285714,6,4000,False,8000,7,2,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-00-17,1579442417,58.22863578796387,370.703547000885,2539,ip-172-31-0-36,172.31.0.36,370.703547000885,8000,2,20.8,6,30,0.2857142857142857,0,1,51.5985498159809,12.250795489797591,9.808996036612527,7936,8000,47126.32,8744.714,26237.565,94993.85,65.48448275862069,28.791379310344826,0.11810344827586207,0.19246569355825538,0.30000001192092896,4.999999873689376e-05,3.2098625,-0.17442843,3.3775065,0.0041061966,0.022614943,8.295409,0.0
-27.4512034152199,-118.95091536638259,-72.80161497050297,710.3333333333334,2,4000,False,12000,9,3,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-01-16,1579442476,58.823137521743774,429.5266845226288,2539,ip-172-31-0-36,172.31.0.36,429.5266845226288,12000,3,27.571428571428573,6,45,0.2222222222222222,0,1,50.589714627632965,12.01098109713945,9.21161749407046,11904,12000,45311.813,6070.62,22936.488,63342.256,67.35344827586208,28.760344827586206,0.11017241379310345,0.19246569355825538,0.44999998807907104,4.999999873689376e-05,1.1575419,-0.17963083,1.3271481,0.0151321925,0.022276808,8.275815,0.0
-27.4512034152199,-124.53592788392186,-74.55817820715437,721.5,3,4000,False,16000,12,4,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-02-14,1579442534,57.39915156364441,486.9258360862732,2539,ip-172-31-0-36,172.31.0.36,486.9258360862732,16000,4,27.444444444444443,6,45,0.25,0,1,52.45937149734888,12.58005310563663,8.937041904609861,15872,16000,44034.431,4737.636,21297.484,47516.227,66.44912280701755,28.999999999999996,0.11280701754385966,0.1924656935582554,0.675000011920929,4.999999873689376e-05,1.7280681,-0.1672544,1.8815186,0.015882265,0.02045034,8.254968,0.0
-27.4512034152199,-164.23335280262015,-81.99091359784187,820.2777777777778,6,4000,False,20000,18,5,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-03-13,1579442593,58.53814458847046,545.4639806747437,2539,ip-172-31-0-36,172.31.0.36,545.4639806747437,20000,5,31.384615384615383,6,54,0.2777777777777778,0,1,51.714036588923435,12.626095151497443,8.226549139490565,19840,20000,43512.16,3933.054,20298.527,38024.485,61.2084745762712,28.93389830508475,0.11067796610169492,0.19246569355825538,1.0125000476837158,4.999999873689376e-05,3.5885546,-0.15261883,3.7235794,0.036618803,0.017376728,8.236925,0.0
-27.4512034152199,-190.0766543019899,-87.28467772340171,859.0434782608696,5,4000,False,24000,23,6,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-04-10,1579442650,57.39415788650513,602.8581385612488,2539,ip-172-31-0-36,172.31.0.36,602.8581385612488,24000,6,33.111111111111114,5,79,0.21739130434782608,0,1,53.373096999132756,13.134634098348833,8.075090537910956,23808,24000,42950.218,3379.905,19676.042,31693.574,67.15438596491228,29.20526315789474,0.12333333333333335,0.1924656935582554,1.0125000476837158,4.999999873689376e-05,2.0636597,-0.17296365,2.218421,0.0036789044,0.01797776,8.217991,0.0
-27.4512034152199,-190.0766543019899,-88.07781163525443,863.04,2,4000,False,28000,25,7,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-05-04,1579442704,52.83974289894104,655.6978814601898,2539,ip-172-31-0-36,172.31.0.36,655.6978814601898,28000,7,33.15,5,79,0.2,0,1,52.896757388619896,13.039756561194068,7.889818883251106,27776,28000,41913.008,2998.689,19201.415,27171.357,67.72115384615385,29.180769230769233,0.13538461538461538,0.19246569355825535,1.0125000476837158,4.999999873689376e-05,2.6486845,-0.16347478,2.7923553,0.00045360095,0.019559678,8.192801,0.0
-27.4512034152199,-190.0766543019899,-88.83237227368967,859.2121212121212,8,4000,False,32000,33,8,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-05-58,1579442758,54.4932165145874,710.1910979747772,2539,ip-172-31-0-36,172.31.0.36,710.1910979747772,32000,8,32.925925925925924,5,79,0.18181818181818182,0,1,53.49095160084608,13.45156674841069,7.658641572821415,31744,32000,41338.884,2716.415,18843.042,23779.9,66.28888888888889,29.42222222222221,0.12018518518518516,0.19246569355825535,1.0125000476837158,4.999999873689376e-05,2.7605588,-0.15058327,2.881842,0.0008390065,0.028939113,8.187307,0.0
-27.4512034152199,-190.0766543019899,-87.56382871892,844.75,3,4000,False,36000,36,9,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-06-56,1579442816,57.96341800689697,768.1545159816742,2539,ip-172-31-0-36,172.31.0.36,768.1545159816742,36000,9,32.266666666666666,5,79,0.16666666666666666,0,1,52.85792789669421,13.319540438918795,7.483202578125143,35712,36000,41278.073,2494.159,18568.697,21142.048,71.96785714285714,29.339285714285715,0.12660714285714286,0.1924656935582554,1.5187499523162842,4.999999873689376e-05,1.6850522,-0.16552868,1.8267292,0.0010230311,0.015704945,8.164287,0.0
-8.84370130910315,-190.0766543019899,-84.62538246569402,828.2790697674419,7,4000,False,40000,43,10,4dffbfd93aa545ab85d78cc126a892a3,2020-01-19_14-07-53,1579442873,56.851566314697266,825.0060822963715,2539,ip-172-31-0-36,172.31.0.36,825.0060822963715,40000,10,32.294117647058826,5,79,0.20930232558139536,0,1,53.64743527853261,13.677097594110803,7.399911487812615,39680,40000,41109.084,2318.756,18356.235,19031.695,65.96964285714286,29.58214285714286,0.12017857142857144,0.1924656935582554,1.5187499523162842,4.999999873689376e-05,4.0433445,-0.14811839,4.1695776,0.0007058094,0.014409948,8.141776,0.0
